,y,Value
0,y1,"tf.Tensor(0.022799942822569537, shape=(), dtype=float64)"
1,y2,"tf.Tensor(0.024008365401188142, shape=(), dtype=float64)"
2,y3,"tf.Tensor(0.02610430136512707, shape=(), dtype=float64)"
3,y4,"tf.Tensor(0.027067174300015474, shape=(), dtype=float64)"
4,y5,"tf.Tensor(0.026921306387906605, shape=(), dtype=float64)"
5,y6,"tf.Tensor(0.02656659109023475, shape=(), dtype=float64)"
6,y7,"tf.Tensor(0.027975812495375414, shape=(), dtype=float64)"
7,y8,"tf.Tensor(0.026754787589088266, shape=(), dtype=float64)"
8,y9,"tf.Tensor(0.027072096557145476, shape=(), dtype=float64)"
9,y10,"tf.Tensor(0.02517411702540759, shape=(), dtype=float64)"
10,y11,"tf.Tensor(0.02661328912607732, shape=(), dtype=float64)"
11,y12,"tf.Tensor(0.02399802937390648, shape=(), dtype=float64)"
12,y13,"tf.Tensor(0.02542988180663392, shape=(), dtype=float64)"
13,y14,"tf.Tensor(0.02602081654230553, shape=(), dtype=float64)"
14,y15,"tf.Tensor(0.02621504494353854, shape=(), dtype=float64)"
15,y16,"tf.Tensor(0.026893781849374607, shape=(), dtype=float64)"
16,y17,"tf.Tensor(0.027136465215343457, shape=(), dtype=float64)"
17,y18,"tf.Tensor(0.02610002487078776, shape=(), dtype=float64)"
18,y19,"tf.Tensor(0.026854495026251153, shape=(), dtype=float64)"
19,y20,"tf.Tensor(0.026672414009778184, shape=(), dtype=float64)"
20,y21,"tf.Tensor(0.02720610932551896, shape=(), dtype=float64)"
21,y22,"tf.Tensor(0.02692702332855894, shape=(), dtype=float64)"
22,y23,"tf.Tensor(0.025365818291110006, shape=(), dtype=float64)"
23,y24,"tf.Tensor(0.02608062455327849, shape=(), dtype=float64)"
24,y25,"tf.Tensor(0.025677817166857943, shape=(), dtype=float64)"
25,y26,"tf.Tensor(0.02580401114845854, shape=(), dtype=float64)"
26,y27,"tf.Tensor(0.025014262152685793, shape=(), dtype=float64)"
27,y28,"tf.Tensor(0.026606728688072734, shape=(), dtype=float64)"
28,y29,"tf.Tensor(0.025498715255615825, shape=(), dtype=float64)"
29,y30,"tf.Tensor(0.026436876432974495, shape=(), dtype=float64)"
30,y31,"tf.Tensor(0.026680419782757717, shape=(), dtype=float64)"
31,y32,"tf.Tensor(0.02565148464002908, shape=(), dtype=float64)"
32,y33,"tf.Tensor(0.02523080169334839, shape=(), dtype=float64)"
33,y34,"tf.Tensor(0.026361981813200694, shape=(), dtype=float64)"
34,y35,"tf.Tensor(0.02603217322517337, shape=(), dtype=float64)"
35,y36,"tf.Tensor(0.02538173369170842, shape=(), dtype=float64)"
36,y37,"tf.Tensor(0.027249493115195672, shape=(), dtype=float64)"
37,y38,"tf.Tensor(0.02767097779349957, shape=(), dtype=float64)"
38,y39,"tf.Tensor(0.027193860465899493, shape=(), dtype=float64)"
39,y40,"tf.Tensor(0.028088085417231227, shape=(), dtype=float64)"
40,y41,"tf.Tensor(0.02747397827578308, shape=(), dtype=float64)"
41,y42,"tf.Tensor(0.02648428460530694, shape=(), dtype=float64)"
42,y43,"tf.Tensor(0.02739936700067199, shape=(), dtype=float64)"
43,y44,"tf.Tensor(0.027953069611502922, shape=(), dtype=float64)"
44,y45,"tf.Tensor(0.027391569004217693, shape=(), dtype=float64)"
45,y46,"tf.Tensor(0.026192368678689633, shape=(), dtype=float64)"
46,y47,"tf.Tensor(0.028157946466504175, shape=(), dtype=float64)"
47,y48,"tf.Tensor(0.027221340264817925, shape=(), dtype=float64)"
48,y49,"tf.Tensor(0.02705415844940559, shape=(), dtype=float64)"
49,y50,"tf.Tensor(0.02670561386833282, shape=(), dtype=float64)"
50,y51,"tf.Tensor(0.028006648394718746, shape=(), dtype=float64)"
51,y52,"tf.Tensor(0.0274811713447088, shape=(), dtype=float64)"
52,y53,"tf.Tensor(0.028095615516423512, shape=(), dtype=float64)"
53,y54,"tf.Tensor(0.029010330549890925, shape=(), dtype=float64)"
54,y55,"tf.Tensor(0.028452470489981407, shape=(), dtype=float64)"
55,y56,"tf.Tensor(0.02924242425586017, shape=(), dtype=float64)"
56,y57,"tf.Tensor(0.028816856150550397, shape=(), dtype=float64)"
57,y58,"tf.Tensor(0.03047038497808665, shape=(), dtype=float64)"
58,y59,"tf.Tensor(0.030728573941926494, shape=(), dtype=float64)"
59,y60,"tf.Tensor(0.030087118411704306, shape=(), dtype=float64)"
60,y61,"tf.Tensor(0.029438291938409092, shape=(), dtype=float64)"
61,y62,"tf.Tensor(0.029269221862532786, shape=(), dtype=float64)"
62,y63,"tf.Tensor(0.029650580726490038, shape=(), dtype=float64)"
63,y64,"tf.Tensor(0.029941703215100857, shape=(), dtype=float64)"
64,y65,"tf.Tensor(0.0291427212568239, shape=(), dtype=float64)"
65,y66,"tf.Tensor(0.03056693618214082, shape=(), dtype=float64)"
66,y67,"tf.Tensor(0.028751159836444388, shape=(), dtype=float64)"
